prev_token,next_token,prev_len,next_len,is_digit_before,label
yerləşdirilib,,13,0,0,0
aparılır,avtomobildə,8,11,0,1
f,,1,0,0,0
aparılıblar,faktla,11,6,0,1
aparılır,,8,0,0,0
aparılır,apa,8,3,0,1
yayıb,bildirilib,5,10,0,1
etdirirlər,,10,0,0,0
var,apa,3,3,0,1
verib,,5,0,0,0
çırpılıb,qəza,8,4,0,1
yerləşdiriliblər,hazırda,16,7,0,1
bildirilir,,10,0,0,0
aparılır,,8,0,0,0
verilib,apa,7,3,0,1
yayıb,bildirilib,5,10,0,1
verilib,,7,0,0,0
olmayıb,,7,0,0,0
var,,3,0,0,0
var,,3,0,0,0
zərərsizləşdirilib,apa,18,3,0,1
yayıb,qeyd,5,4,0,1
zərərsizləşdirilib,,18,0,0,0
edəcək,apa,6,3,0,1
bildirib,qeyd,8,4,0,1
dayandırılıb,,12,0,0,0
yaralanıb,apa,9,3,0,1
yazıb,zelenski,5,8,0,1
çalışır,,7,0,0,0
edib,apa,4,3,0,1
oldu,,4,0,0,0
duyuruq,,7,0,0,0
edir,,4,0,0,0
çalışır,,7,0,0,0
yanaşmalıdır,,12,0,0,0
,,0,0,0,0
saxlanılıb,apa,10,3,0,1
yayıb,məlumata,5,8,0,1
saxlanılıb,,10,0,0,0
edir,,4,0,0,0
vurğulayardınız,,15,0,0,0
ilidir,,6,0,0,0
olub,,4,0,0,0
çatmışıq,,8,0,0,0
olacaq,,6,0,0,0
bilərəm,,7,0,0,0
etmişik,,7,0,0,0
olunacaq,,8,0,0,0
atıb,,4,0,0,0
olundu,,6,0,0,0
gedəcəyik,həmçinin,9,8,0,1
etdi,,4,0,0,0
işləyəcəyik,,11,0,0,0
başlanılıb,,10,0,0,0
olunub,,6,0,0,0
olunur,,6,0,0,0
olur,,4,0,0,0
qurulub,,7,0,0,0
məsələdir,,9,0,0,0
planlaşdırılır,,14,0,0,0
bağlanılacaqdır,,15,0,0,0
quruldu,,7,0,0,0
hədəfləmişik,,12,0,0,0
tamamladıq,,10,0,0,0
etdik,,5,0,0,0
olacaq,,6,0,0,0
çıxaracaq,həmçinin,9,8,0,1
etmişik,,7,0,0,0
olunur,,6,0,0,0
edir,,4,0,0,0
yekunlaşdırırsınız,,18,0,0,0
idi,,3,0,0,0
görüldü,,7,0,0,0
paylaşmışdım,,12,0,0,0
hədəfləmişik,,12,0,0,0
təkmilləşəcəyik,,15,0,0,0
olunub,belə,6,4,0,1
çevriləcək,,10,0,0,0
verilir,,7,0,0,0
önəmlidir,,9,0,0,0
edib,,4,0,0,0
etmişdim,,8,0,0,0
aydınlaşdırırıq,,15,0,0,0
mütənasibdir,,12,0,0,0
bildik,,6,0,0,0
götürülür,,9,0,0,0
keçirdik,,8,0,0,0
oldu,,4,0,0,0
olunacaq,beləliklə,8,9,0,1
vasitədir,,9,0,0,0
olmaz,,5,0,0,0
verilir,,7,0,0,0
layihəsidir,,11,0,0,0
olunacaq,,8,0,0,0
verəcək,,7,0,0,0
qoymusunuz,,10,0,0,0
hədəfləmişik,,12,0,0,0
,,0,0,0,0
edir,,4,0,0,0
gəlib,,5,0,0,0
gözləyirlər,digər,11,5,0,1
hədəflərdəndir,,14,0,0,0
edirsiniz,,9,0,0,0
keçiriləcək,,11,0,0,0
modelimiz,,9,0,0,0
qurulub,,7,0,0,0
hesablanacaq,,12,0,0,0
göstəricisidir,,14,0,0,0
yaradılmışdır,,13,0,0,0
hazırlanıb,,10,0,0,0
oynayacaq,,9,0,0,0
əlbəttə,,7,0,0,0
istərdim,,8,0,0,0
vermək,birincisi,6,9,0,1
etdirmişik,,10,0,0,0
olunmuşuq,,9,0,0,0
keçirmişik,,10,0,0,0
olmuşuq,həmçinin,7,8,0,1
tərəfdaşıq,,10,0,0,0
edir,,4,0,0,0
dirçəliş,,8,0,0,0
şuşa,,4,0,0,0
keçirdik,,8,0,0,0
istədiyiniz,,11,0,0,0
istəyirəm,,9,0,0,0
olub,,4,0,0,0
edirik,,6,0,0,0
gəlir,,5,0,0,0
edirəm,,6,0,0,0
olsun,,5,0,0,0
edilib,apa,6,3,0,1
yayıb,qeyd,5,4,0,1
edilib,,6,0,0,0
gözlənilir,apa,10,3,0,1
yayıb,bildirilib,5,10,0,1
gözlənilir,,10,0,0,0
çatıb,apa,5,3,0,1
yayıb,qeyd,5,4,0,1
dağılıb,,7,0,0,0
ərazilərdədir,həmçinin,13,8,0,1
edir,,4,0,0,0
açıqlanıb,milli,9,5,0,1
gözlənilir,,10,0,0,0
olunacaq,havanın,8,7,0,1
olacaq,azərbaycanın,6,12,0,1
olacaq,,6,0,0,0
var,,3,0,0,0
duman,,5,0,0,0
güclənəcək,havanın,10,7,0,1
olacaq,,6,0,0,0
olub,fhn,4,3,0,1
verilib,,7,0,0,0
ediblər,apa,7,3,0,1
verib,keçirilən,5,9,0,1
izləyiblər,bayram,10,6,0,1
,,0,0,0,0
sürürdü,,7,0,0,0
edilmişdir,dünyanın,10,8,0,1
çarpır,,6,0,0,0
idi,,3,0,0,0
olmayıb,,7,0,0,0
sübutudur,,9,0,0,0
olunub,müdafiə,6,7,0,1
olunub,,6,0,0,0
vurğulanıb,,10,0,0,0
p,həşimovun,1,9,0,0
çatdırılıb,qeyd,10,4,0,1
p,həşimov,1,7,0,0
edilib,,6,0,0,0
verilib,,7,0,0,0
p,həşimov,1,7,0,0
görülüb,milli,7,5,0,1
etdirilib,,9,0,0,0
tutulub,daxili,7,6,0,1
saxlanılıb,,10,0,0,0
götürülüb,davam,9,5,0,1
götürülüb,araşdırma,9,9,0,1
aparılır,,8,0,0,0
alıb,apa,4,3,0,1
yayıb,,5,0,0,0
edilib,,6,0,0,0
bilib,məlumata,5,8,0,1
idi,,3,0,0,0
bildirilir,,10,0,0,0
,,0,0,1,0
ölüb,apa,4,3,0,1
yayıb,qeyd,5,4,0,1
olub,,4,0,0,0
,,0,0,1,0
edir,apa,4,3,0,1
görülür,,7,0,0,0
,,0,0,1,0
alovlanıb,apa,9,3,0,1
yayıb,bildirilib,5,10,0,1
olub,yanan,4,5,0,1
edilib,hacı,6,4,0,1
alıb,apa,4,3,0,1
alınıb,,6,0,0,0
toqquşub,qəza,8,4,0,1
alıblar,,7,0,0,0
çatdırılıblar,onların,13,7,0,1
etdirilir,faktla,9,6,0,1
aparılır,,8,0,0,0
yaralanıb,apa,9,3,0,1
bildirib,məlumata,8,8,0,1
endirib,,7,0,0,0
olunub,,6,0,0,0
verib,apa,5,3,0,1
yayıb,məlumata,5,8,0,1
verib,,5,0,0,0
olunub,hazırda,6,7,0,1
olunub,,6,0,0,0
dəqiqləşdirilir,,15,0,0,0
yaralanıb,apa,9,3,0,1
bildirib,məlumata,8,8,0,1
endirib,,7,0,0,0
olunub,,6,0,0,0
öldürüb,apa,7,3,0,1
alınıb,,6,0,0,0
vurub,,5,0,0,0
keçinib,,7,0,0,0
aparılır,,8,0,0,0
bağlayıb,apa,8,3,0,1
yayıb,qeyd,5,4,0,1
etdirəcək,,9,0,0,0
toqquşub,apa,8,3,0,1
alınıb,,6,0,0,0
alıb,,4,0,0,0
keçinib,,7,0,0,0
aparılır,,8,0,0,0
olacaq,apa,6,3,0,1
bildirib,hamas,8,5,0,1
olunacaqlar,,11,0,0,0
alınıb,,6,0,0,0
alıb,,4,0,0,0
keçinib,faktla,7,6,0,1
aparılır,,8,0,0,0
,,0,0,1,0
toqquşub,apa,8,3,0,1
alınıb,,6,0,0,0
alıb,,4,0,0,0
keçinib,faktla,7,6,0,1
aparılır,,8,0,0,0
gətirilib,yaranan,9,7,0,1
bağlanıb,,8,0,0,0
yaranıb,,7,0,0,0
işləyir,,7,0,0,0
var,,3,0,0,0
yoxdu,,5,0,0,0
,qeyd,0,4,0,1
gözləyir,,8,0,0,0
alınıb,apa,6,3,0,1
alınıb,kənd,6,4,0,1
bıçaqlayıb,o,10,1,0,1
bildirilir,hadisənin,10,9,0,1
araşdırılır,,11,0,0,0
verib,apa,5,3,0,1
alınıb,avtomobillərin,6,14,0,1
alıb,onlar,4,5,0,1
yerləşdiriliblər,faktla,16,6,0,1
aparılır,,8,0,0,0
vurub,apa,5,3,0,1
yayıb,zərbələr,5,8,0,1
endirilib,əraziyə,9,7,0,1
olunub,qeyd,6,4,0,1
zərbəsidir,,10,0,0,0
alınıb,apa,6,3,0,1
alınıb,kənd,6,4,0,1
güllələyib,o,10,1,0,1
bildirilir,hadisənin,10,9,0,1
araşdırılır,,11,0,0,0
olub,apa,4,3,0,1
yayıb,saleh,5,5,0,1
olub,bildirilib,4,10,0,1
öldürülüb,yaralıların,9,11,0,1
deyil,saat,5,4,0,1
vurub,apa,5,3,0,1
yayıb,zərbələr,5,8,0,1
endirilib,əraziyə,9,7,0,1
olunub,qeyd,6,4,0,1
zərbəsidir,,10,0,0,0
artıb,apa,5,3,0,1
verib,dron,5,4,0,1
ölüb,hamas,4,5,0,1
bildirilir,,10,0,0,0
olub,apa,4,3,0,1
yayıb,saleh,5,5,0,1
olub,bildirilib,4,10,0,1
öldürülüb,yaralıların,9,11,0,1
deyil,saat,5,4,0,1
vurub,apa,5,3,0,1
yayıb,zərbələr,5,8,0,1
endirilib,əraziyə,9,7,0,1
olunub,qeyd,6,4,0,1
zərbəsidir,,10,0,0,0
çatıb,apa,5,3,0,1
yayıb,səhər,5,5,0,1
yaralanıb,onlardan,9,8,0,1
yaralanıb,həmin,9,5,0,1
ölüb,,4,0,0,0
yanıb,apa,5,3,0,1
yayıb,yüksək,5,6,0,1
əriyib,mənzilin,6,8,0,1
olunub,yanğın,6,6,0,1
söndürülüb,,10,0,0,0
ölüb,apa,4,3,0,1
alınıb,hərəkətdə,6,9,0,1
ölüb,faktla,4,6,0,1
aparılır,,8,0,0,0
olub,azərbaycan,4,10,0,1
edib,maşinist,4,8,0,1
dəyişib,,7,0,0,0
ölüb,apa,4,3,0,1
alınıb,hərəkətdə,6,9,0,1
ölüb,faktla,4,6,0,1
aparılır,,8,0,0,0
olub,azərbaycan,4,10,0,1
edib,maşinist,4,8,0,1
dəyişib,,7,0,0,0
ölüb,apa,4,3,0,1
alınıb,hərəkətdə,6,9,0,1
ölüb,faktla,4,6,0,1
aparılır,,8,0,0,0
verib,apa,5,3,0,1
h,əliyev,1,6,0,0
verib,piyada,5,6,0,1
keçinib,hadisə,7,6,0,1
olunub,ölən,6,4,0,1
keçirilir,,9,0,0,0
olub,apa,4,3,0,1
yayıb,qeyd,5,4,0,1
alınıb,yeraltı,6,7,0,1
olub,zəlzələ,4,7,0,1
yerləşib,,8,0,0,0
salıb,apa,5,3,0,1
yayıb,qeyd,5,4,0,1
yoxdur,yanvarın,6,8,0,1
verib,zərbə,5,5,0,1
olub,hamas,4,5,0,1
bildirilir,,10,0,0,0
düşüb,apa,5,3,0,1
verilib,məlumata,7,8,0,1
olub,eyni,4,4,0,1
olub,,4,0,0,0
verib,apa,5,3,0,1
yayıb,alimlər,5,7,0,1
bildiirb,,8,0,0,0
deyilir,,7,0,0,0
ötüb,apa,4,3,0,1
edib,,4,0,0,0
deməkdir,xatırladaq,8,10,0,1
aşılıb,,6,0,0,0
olub,,4,0,0,0
çağırıb,,7,0,0,0
aparılıb,abş,8,3,0,1
imzalayıb,,9,0,0,0
çatılacaq,,9,0,0,0
təsdiqlənib,,11,0,0,0
artıb,apa,5,3,0,1
yayıb,zəlzələdə,5,9,0,1
çatıb,həmçinin,5,8,0,1
alıb,xəsarət,4,7,0,1
sakinləridir,,12,0,0,0
dağılıb,i̇şikava,7,7,0,1
edilib,,6,0,0,0
olunur,bazar,6,5,0,1
olub,zəlzələ,4,7,0,1
olub,,4,0,0,0
,,0,0,1,0
,,0,0,1,0
çatıb,apa,5,3,0,1
yayıb,qeyd,5,4,0,1
dağılıb,,7,0,0,0
ərazilərdədir,həmçinin,13,8,0,1
edir,,4,0,0,0
alınıb,apa,6,3,0,1
verib,səid,5,4,0,1
itirib,avtomobil,6,9,0,1
çırpılıb,qəza,8,4,0,1
uğrayıb,nəqliyyat,7,9,0,1
çatdırılıb,yaralılar,10,9,0,1
yerləşdiriliblər,faktla,16,6,0,1
aparır,,6,0,0,0
vurub,apa,5,3,0,1
alınıb,,6,0,0,0
istəyib,bu,7,2,0,1
sıxışdırıb,piyadanın,10,9,0,1
sınıb,o,5,1,0,1
çatdırılıb,həkimlərin,10,10,0,1
x,məmmədovun,1,10,0,0
edilib,faktla,6,6,0,1
aparılır,,8,0,0,0
olub,apa,4,3,0,1
yayb,i̇sikava,4,7,0,1
olub,yeraltı,4,7,0,1
olunub,,6,0,0,0
saxlayıb,apa,8,3,0,1
yayıb,silahlı,5,7,0,1
düşürdüb,onlardan,8,8,0,1
qaçırılıb,tamaulipas,9,10,0,1
başlayıb,,8,0,0,0
verib,apa,5,3,0,1
alınıb,,6,0,0,0
çalışıb,həmin,7,5,0,1
çırpıb,zərbənin,6,8,0,1
çırpılıb,qəza,8,4,0,1
uğrayıb,hadisə,7,6,0,1
edilib,qəzanın,6,7,0,1
araşdırılır,,11,0,0,0
edəcək,apa,6,3,0,1
yayıb,türkiyə,5,7,0,1
olunacaq,həmçinin,8,8,0,1
bildirilib,,10,0,0,0
dayandırılıb,apa,12,3,0,1
olub,gəmilərin,4,9,0,1
veriləcək,,9,0,0,0
zəhərlənib,,10,0,0,0
yerləşdirilib,,13,0,0,0
qoşulub,,7,0,0,0
olub,daxili,4,6,0,1
saxlanılıb,araşdırmalarla,10,14,0,1
olunub,araşdırmalar,6,12,0,1
etdirilir,,9,0,0,0
h,quliyev,1,7,0,0
r,novruzovu,1,9,0,0
vurub,di̇n,5,3,0,1
edib,faktla,4,6,0,1
aparılır,,8,0,0,0
verib,apa,5,3,0,1
h,əliyev,1,6,0,0
verib,piyada,5,6,0,1
keçinib,hadisə,7,6,0,1
olunub,ölən,6,4,0,1
keçirilir,,9,0,0,0
olub,,4,0,0,0
edib,,4,0,0,0
artıb,,5,0,0,0
mln,,3,0,0,0
edib,,4,0,0,0
olub,daxili,4,6,0,1
saxlanılıblar,araşdırma,13,9,0,1
aparılır,,8,0,0,0
enib,,4,0,0,0
azalıb,qeyd,6,4,0,1
başlanılıb,,10,0,0,0
ucuzlaşıb,,9,0,0,0
yüksəlib,qeyd,8,4,0,1
edib,,4,0,0,0
bahalaşıb,,9,0,0,0
olunub,apa,6,3,0,1
bildirib,,8,0,0,0
red,,3,0,0,0
alınıb,,6,0,0,0
idi,,3,0,0,0
keçib,,5,0,0,0
bildirib,qazaxıstan,8,10,0,1
edib,,4,0,0,0
açmayıb,,7,0,0,0
edib,,4,0,0,0
göndərildi,,10,0,0,0
edib,,4,0,0,0
saxlanılıb,apa,10,3,0,1
yayıb,nazir,5,5,0,1
keçirilib,,9,0,0,0
s,,1,0,0,0
,,0,0,0,0
saxlanılıb,di̇n,10,3,0,1
götürülüb,araşdırma,9,9,0,1
aparılır,,8,0,0,0
edib,apa,4,3,0,1
verilib,məlumata,7,8,0,1
edib,,4,0,0,0
yaralanıb,apa,9,3,0,1
yazıb,qeyd,5,4,0,1
keçinib,belqorod,7,8,0,1
dəyib,,5,0,0,0
saxlanılıb,naxçıvan,10,8,0,1
verilib,,7,0,0,0
olub,həmin,4,5,0,1
göndərilib,,10,0,0,0
açıqlanıb,milli,9,5,0,1
gözlənilir,şimal,10,5,0,1
olunacaq,havanın,8,7,0,1
olacaq,,6,0,0,0
enəcək,,6,0,0,0
olacaq,azərbaycanın,6,12,0,1
gözlənilir,,10,0,0,0
olacaq,,6,0,0,0
güclənəcək,havanın,10,7,0,1
olacaq,,6,0,0,0
verib,apa,5,3,0,1
alınıb,bərdə,6,5,0,1
toqquşub,hadisə,8,6,0,1
yerləşdirilib,,13,0,0,0
aparılır,,8,0,0,0
edib,apa,4,3,0,1
saxlanılıb,lakin,10,5,0,1
mövcuddur,,9,0,0,0
olur,,4,0,0,0
yaradır,,7,0,0,0
,,0,0,0,0
bildirib,apa,8,3,0,1
yazıb,qeyd,5,4,0,1
planlaşdırılır,nazirlik,14,8,0,1
olunur,xatırladaq,6,10,0,1
açıqlamışdı,ermənistan,11,10,0,1
edib,,4,0,0,0
etməyib,,7,0,0,0
edib,apa,4,3,0,1
enib,flightradar,4,11,0,1
başlayıb,airbus,8,6,0,1
verib,,5,0,0,0
edib,baş,4,3,0,1
müəyyənləşdirilir,,17,0,0,0
olub,xidmətdən,4,9,0,1
göndərilib,keçirilmiş,10,10,0,1
çıxarılıb,,9,0,0,0
artıb,,5,0,0,0
olub,tüi̇k,4,4,0,1
edib,,4,0,0,0
imzalanıb,müdafiə,9,7,0,1
edilib,bu,6,2,0,1
aparılacaq,,10,0,0,0
edəcək,apa,6,3,0,1
yayıb,bildirilib,5,10,0,1
razılaşdırılıb,qeyd,14,4,0,1
izləyəcək,,9,0,0,0
göndərib,,8,0,0,0
bildirilib,,10,0,0,0
sürülüb,apa,7,3,0,1
yayıb,menendez,5,8,0,1
olunur,,6,0,0,0
ölkədir,,7,0,0,0
bağlıdır,senatorun,8,9,0,1
bildirib,dünən,8,5,0,1
olunub,,6,0,0,0
var,qeyd,3,4,0,1
bilməyib,son,8,3,0,1
edir,,4,0,0,0
edib,,4,0,0,0
edib,apa,4,3,0,1
yayıb,bildirilib,5,10,0,1
edilib,qeyd,6,4,0,1
yaşanır,,7,0,0,0
bahalaşıb,,9,0,0,0
satılır,,7,0,0,0
verib,,5,0,0,0
edilib,,6,0,0,0
edib,qsc,4,3,0,1
düşəcək,xatırladaq,7,10,0,1
edəcək,qatarların,6,10,0,1
www,ady,3,3,0,0
ady,az,3,2,0,0
bilərsiniz,,10,0,0,0
olub,apa,4,3,0,1
yayıb,bildirilib,5,10,0,1
yanıb,yüksək,5,6,0,1
qarsalanıb,,10,0,0,0
olunub,,6,0,0,0
söndürülüb,,10,0,0,0
çatıb,apa,5,3,0,1
tapıb,qeyd,5,4,0,1
alınıb,təbii,6,5,0,1
alıb,,4,0,0,0
artıb,apa,5,3,0,1
yayıb,zəlzələdə,5,9,0,1
çatıb,həmçinin,5,8,0,1
alıb,xəsarət,4,7,0,1
sakinləridir,,12,0,0,0
dağılıb,i̇şikava,7,7,0,1
edilib,,6,0,0,0
olunur,bazar,6,5,0,1
olub,zəlzələ,4,7,0,1
olub,,4,0,0,0
,,0,0,1,0
,,0,0,1,0
çatıb,apa,5,3,0,1
yayıb,qeyd,5,4,0,1
dağılıb,,7,0,0,0
ərazilərdədir,həmçinin,13,8,0,1
edir,,4,0,0,0
artıb,apa,5,3,0,1
yayıb,bildirilib,5,10,0,1
artıb,,5,0,0,0
var,,3,0,0,0
,qeyd,0,4,0,1
verib,,5,0,0,0
edilib,,6,0,0,0
dəyişib,apasport,7,8,0,1
apasport,az,8,2,0,0
aparıblar,,9,0,0,0
bilməyiblər,qeyd,11,4,0,1
etmişdi,,7,0,0,0
olub,apa,4,3,0,1
bildirib,,8,0,0,0
olub,,4,0,0,0
formalaşdırıblar,,16,0,0,0
göstərib,,8,0,0,0
bilməzdi,,8,0,0,0
olmamalıdır,,11,0,0,0
vurğulayıb,kasım,10,5,0,1
danışıb,,7,0,0,0
edib,,4,0,0,0
çıxarıb,,7,0,0,0
azalıb,onların,6,7,0,1
genişləndirilib,qeyd,15,4,0,1
etməkdədir,əhməd,10,5,0,1
olunacaq,apa,8,3,0,1
yazıb,bildirilib,5,10,0,1
görəcək,,7,0,0,0
edəcək,nəşrin,6,6,0,1
olmayacaq,,9,0,0,0
bilərlər,,8,0,0,0
ucuzlaşmasıdır,,14,0,0,0
olub,bu,4,2,0,1
verib,onun,5,4,0,1
olub,,4,0,0,0
vurub,,5,0,0,0
kəsilib,,7,0,0,0
çıxıb,,5,0,0,0
,kənan,0,5,0,1
edilib,,6,0,0,0
vurub,apa,5,3,0,1
alınıb,,6,0,0,0
istəyib,bu,7,2,0,1
sıxışdırıb,piyadanın,10,9,0,1
sınıb,o,5,1,0,1
çatdırılıb,həkimlərin,10,10,0,1
x,məmmədovun,1,10,0,0
edilib,faktla,6,6,0,1
aparılır,,8,0,0,0
verib,apa,5,3,0,1
deyil,qeyd,5,4,0,1
toplaşıblar,,11,0,0,0
gəlib,,5,0,0,0
verib,apa,5,3,0,1
alınıb,hərəkətdə,6,9,0,1
toqquşub,,8,0,0,0
yerləşdirilib,,13,0,0,0
olunub,,6,0,0,0
aparılır,,8,0,0,0
açıqlanıb,,9,0,0,0
apasport,az,8,2,0,0
yollanacaq,,10,0,0,0
edəcək,,6,0,0,0
yaralanıb,apa,9,3,0,1
yayıb,,5,0,0,0
yaralanıb,apa,9,3,0,1
bildirib,kerman,8,6,0,1
deyil,qeyd,5,4,0,1
verib,,5,0,0,0
verib,apa,5,3,0,1
deyil,qeyd,5,4,0,1
toplaşıblar,,11,0,0,0
gəlib,,5,0,0,0
olunur,apa,6,3,0,1
olunur,küləyin,6,7,0,1
çatıb,bakıda,5,6,0,1
alınıb,gülşad,6,6,0,1
əsəcək,,6,0,0,0
açıqlanıb,apasport,9,8,0,1
apasport,az,8,2,0,0
yollanacaq,referilər,10,9,0,1
edəcək,,6,0,0,0
adlandırıblar,apa,13,3,0,1
təsdiqləyib,məzarın,11,7,0,1
edilib,,6,0,0,0
çatıb,apa,5,3,0,1
adlandırıblar,,13,0,0,0
yaralanıb,apa,9,3,0,1
yayıb,,5,0,0,0
yaralanıb,apa,9,3,0,1
bildirib,kerman,8,6,0,1
deyil,qeyd,5,4,0,1
verib,,5,0,0,0
verib,apa,5,3,0,1
deyil,qeyd,5,4,0,1
toplaşıblar,,11,0,0,0
gəlib,,5,0,0,0
alqışlayır,,10,0,0,0
deyilir,,7,0,0,0
verməlidirlər,,13,0,0,0
yekunlaşacaq,,12,0,0,0
gözlənilir,,10,0,0,0
edib,,4,0,0,0
ediblər,apa,7,3,0,1
yayıb,,5,0,0,0
qalmayacaq,,10,0,0,0
alınıb,naxçıvan,6,8,0,1
alınıb,,6,0,0,0
zəhərləniblər,,13,0,0,0
olub,,4,0,0,0
edilib,,6,0,0,0
normaldır,,9,0,0,0
saxlanılıb,apa,10,3,0,1
a,e,1,1,0,0
e,,1,0,0,0
satıblar,,8,0,0,0
etdirilir,əhməd,9,5,0,1
çatıb,apa,5,3,0,1
çoxdur,,6,0,0,0
çatıb,apa,5,3,0,1
çoxdur,ölən,6,4,0,1
olunur,i̇ran,6,4,0,1
edib,,4,0,0,0
çatıb,apa,5,3,0,1
adlandırıblar,,13,0,0,0
yaralanıb,apa,9,3,0,1
yayıb,,5,0,0,0
yaralanıb,apa,9,3,0,1
bildirib,kerman,8,6,0,1
deyil,qeyd,5,4,0,1
verib,,5,0,0,0
verib,apa,5,3,0,1
deyil,qeyd,5,4,0,1
toplaşıblar,,11,0,0,0
gəlib,,5,0,0,0
